year,harmonised_code,harmonised_name,marriages_civil,marriages_religious
2001,T_3207,Powiat kamieński,82.0,158.0
2001,T_3211,Powiat policki,134.0,147.0
2001,T_3214,Powiat stargardzki,249.0,511.0
2001,T_3263,Powiat m. Świnoujście,114.0,81.0
2001,T_0201,Powiat bolesławiecki,140.0,317.0
2001,T_0205,Powiat jaworski,74.0,179.0
2001,T_0206,Powiat karkonoski,131.0,168.0
2001,T_0207,Powiat kamiennogórski,63.0,170.0
2001,T_0210,Powiat lubański,85.0,181.0
2001,T_0212,Powiat lwówecki,62.0,153.0
2001,T_0225,Powiat zgorzelecki,179.0,277.0
2001,T_0226,Powiat złotoryjski,63.0,193.0
2001,T_0261,Powiat m. Jelenia Góra,171.0,204.0
2001,T_0203,Powiat głogowski,169.0,352.0
2001,T_0204,Powiat górowski,52.0,151.0
2001,T_0209,Powiat legnicki,63.0,186.0
2001,T_0211,Powiat lubiński,203.0,410.0
2001,T_0216,Powiat polkowicki,114.0,222.0
2001,T_0262,Powiat m. Legnica,232.0,273.0
