,election_date,election_type,harmonised_code,harmonised_name,pc1
183,2000_10_08,president_a,T_1606,namysłowski,-0.005836184074618944
184,2000_10_08,president_a,T_1607,nyski,0.003081196796931418
185,2000_10_08,president_a,T_1608,oleski,0.051576140237068524
186,2000_10_08,president_a,T_1609,opolski,-0.041767736578384285
187,2000_10_08,president_a,T_1610,prudnicki,-0.040358301306860245
188,2000_10_08,president_a,T_1611,strzelecki,-0.031049936343238993
189,2000_10_08,president_a,T_1661,Opole,0.020929638241145965
190,2000_10_08,president_a,T_1801,bieszczadzki,-0.006428071788958489
191,2000_10_08,president_a,T_1802,brzozowski,-0.2529228203101843
192,2000_10_08,president_a,T_1803,dębicki,-0.214440088946264
193,2000_10_08,president_a,T_1804,jarosławski,-0.22295813077905757
194,2000_10_08,president_a,T_1805,jasielski,-0.19171264711799965
195,2000_10_08,president_a,T_1806,kolbuszowski,-0.3063902128917828
196,2000_10_08,president_a,T_1807,krośnieński,-0.1791843313333974
197,2000_10_08,president_a,T_1808,leżajski,-0.3340430366571616
198,2000_10_08,president_a,T_1809,lubaczowski,-0.11877633855921793
199,2000_10_08,president_a,T_1810,łańcucki,-0.3474057814185012
200,2000_10_08,president_a,T_1811,mielecki,-0.14562817245493218
201,2000_10_08,president_a,T_1812,niżański,-0.2091559774198201
202,2000_10_08,president_a,T_1813,przemyski,-0.14871451667112948
203,2000_10_08,president_a,T_1814,przeworski,-0.18207128675753448
204,2000_10_08,president_a,T_1815,ropczycko-sędziszowski,-0.3275970399636923
205,2000_10_08,president_a,T_1816,rzeszowski,-0.32638998681283665
206,2000_10_08,president_a,T_1817,sanocki,-0.08294999132779007
207,2000_10_08,president_a,T_1818,stalowowolski,-0.12803713699507585
208,2000_10_08,president_a,T_1819,strzyżowski,-0.26929080152755075
209,2000_10_08,president_a,T_1820,tarnobrzeski,-0.11591078895015294
210,2000_10_08,president_a,T_1861,Krosno,-0.09662007657829286
211,2000_10_08,president_a,T_1862,Przemyśl,-0.0744794230355682
212,2000_10_08,president_a,T_1863,Rzeszów,-0.14189919593832723
213,2000_10_08,president_a,T_1864,Tarnobrzeg,0.009088135415948162
214,2000_10_08,president_a,T_2001,augustowski,-0.16179715510109993
215,2000_10_08,president_a,T_2002,białostocki,-0.2025841179204862
216,2000_10_08,president_a,T_2003,bielski,-0.0609601867418022
217,2000_10_08,president_a,T_2004,grajewski,-0.10604106759334075
218,2000_10_08,president_a,T_2005,hajnowski,0.27215648325123487
219,2000_10_08,president_a,T_2006,kolneński,-0.2606402976635635
220,2000_10_08,president_a,T_2007,łomżyński,-0.36727182415257054
221,2000_10_08,president_a,T_2008,moniecki,-0.2506154542071729
222,2000_10_08,president_a,T_2009,sejneński,0.07564789928714671
223,2000_10_08,president_a,T_2010,siemiatycki,-0.09395105896720096
224,2000_10_08,president_a,T_2011,sokólski,-0.182388832954439
225,2000_10_08,president_a,T_2012,suwalski,-0.13507916087786317
226,2000_10_08,president_a,T_2013,wysokomazowiecki,-0.35295849437844284
227,2000_10_08,president_a,T_2014,zambrowski,-0.22292818142627924
228,2000_10_08,president_a,T_2061,Białystok,-0.09721271343520338
